Freq (Hz)	Gxymic/ref_Real	Gxymic/ref_Imag
529.9999999999999990	-0.0010270061307888	0.0028727926223010
530.9999999999999990	-0.0004835720384441	0.0012598050712473
531.9999999999999990	-0.0005211842192588	0.0008642310580740
532.9999999999999990	-0.0007206803527638	0.0011984109078693
533.9999999999999990	-0.0013379481233103	0.0015261728892067
534.9999999999999990	-0.0015932035838365	0.0014115986178383
535.9999999999999990	-0.0017541392691361	0.0016248146471553
536.9999999999999990	-0.0019178954529294	0.0017952644442982
537.9999999999999990	-0.0019113363635920	0.0018549311235303
538.9999999999999990	-0.0009196343290734	0.0008349952568506
539.9999999999999990	-0.0017875374082126	0.0015244406047624
540.9999999999999990	-0.0013282078000050	0.0011959563871430
541.9999999999999990	-0.0008398194521766	0.0006606560185849
542.9999999999999990	-0.0009567088979013	0.0007714994070472
543.9999999999999990	-0.0013297539076777	0.0010236308817073
544.9999999999999990	-0.0021138894023490	0.0018046983917311
545.9999999999999990	-0.0015186644850244	0.0015782047622856
546.9999999999999990	-0.0024805783477632	0.0026947450258884
547.9999999999999990	-0.0021298819626332	0.0024500158402423
548.9999999999999990	-0.0013834028080716	0.0016330108039042
549.9999999999999990	-0.0015132770057723	0.0016171612392889
550.9999999999999990	-0.0015922260419845	0.0016456805563421
551.9999999999999990	-0.0017147880428323	0.0017231676852201
552.9999999999999990	-0.0026061992346963	0.0026115055096524
553.9999999999999990	-0.0026742143271856	0.0028276815896923
554.9999999999999990	-0.0016515629198752	0.0016431178920765
555.9999999999999990	-0.0021865942818834	0.0023879714812470
556.9999999999999990	-0.0024579632945513	0.0030292430344849
557.9999999999999990	-0.0020516194316498	0.0031166017136460
558.9999999999999990	-0.0008322028312098	0.0014888865720189
559.9999999999999990	-0.0011861482998899	0.0021233556395696
560.9999999999999990	-0.0014026320876748	0.0025866248115720
561.9999999999999990	-0.0012996835633092	0.0024444732664985
562.9999999999999990	-0.0012797444641413	0.0028410009287452
563.9999999999999990	-0.0008627001167824	0.0019308279279260
564.9999999999999990	-0.0006118528771431	0.0014657439621410
565.9999999999999990	-0.0008981918645462	0.0025546903274274
566.9999999999999990	-0.0011225173145601	0.0034867098018229
567.9999999999999990	-0.0007869638432697	0.0026244864629549
568.9999999999999990	-0.0007591080376966	0.0029848946246654
569.9999999999999990	-0.0004469357433312	0.0024481548393120
570.9999999999999990	-0.0005511643948254	0.0037972939033271
571.9999999999999990	-0.0003776077382990	0.0034054045511700
572.9999999999999990	-0.0001339064792940	0.0019880879162320
573.9999999999999990	-0.0001385665034888	0.0019310588359703
574.9999999999999990	-0.0002489275391564	0.0022438123498546
575.9999999999999990	-0.0001599588851854	0.0013329683091682
576.9999999999999990	-0.0007227530497767	0.0024119239134004
577.9999999999999990	-0.0009062840928125	0.0032399593917938
578.9999999999999990	-0.0010343982519920	0.0029178861055198
579.9999999999999990	-0.0013924071405920	0.0041523825607735
580.9999999999999990	-0.0011848871436021	0.0037775428950896
581.9999999999999990	-0.0005887169400729	0.0019399376690515
582.9999999999999990	-0.0010797777650370	0.0038239657081985
583.9999999999999990	-0.0006659922788072	0.0027159702301225
584.9999999999999990	-0.0004804921186396	0.0023581409140957
585.9999999999999990	-0.0003011055806122	0.0015985946209486
586.9999999999999990	-0.0003634778697160	0.0022758308416772
587.9999999999999990	-0.0003236255822345	0.0024201605626736
588.9999999999999990	-0.0006343016934671	0.0048614522733959
589.9999999999999990	-0.0004897548201750	0.0044607051967612
590.9999999999999990	-0.0002094393761901	0.0031346489754876
591.9999999999999990	-0.0001106405096660	0.0051361262737400
592.9999999999999990	0.0000789029519052	0.0046746606152499
593.9999999999999990	0.0001329923908364	0.0028378897100043
594.9999999999999990	0.0003244117983733	0.0034598599822446
595.9999999999999990	0.0006398197416333	0.0046271433991929
596.9999999999999990	0.0005901981982748	0.0031343149340550
597.9999999999999990	0.0012426530793334	0.0045753746297724
598.9999999999999990	0.0011856302872348	0.0039365145355988
599.9999999999999990	0.0008108142099933	0.0023769733527251
600.9999999999999990	0.0005951508016750	0.0016632136562321
601.9999999999999990	0.0003136437556656	0.0010520341317442
602.9999999999999990	0.0004599049601574	0.0014312043152760
603.9999999999999990	0.0008197625751323	0.0025595951847352
604.9999999999999990	0.0013114901522217	0.0039995378654672
605.9999999999999990	0.0011196647902765	0.0034276268293660
606.9999999999999990	0.0012939663340704	0.0040004704143984
607.9999999999999990	0.0008345274316899	0.0031501643034487
608.9999999999999990	0.0004241919440847	0.0022645315332467
609.9999999999999990	0.0004901708913492	0.0030617088467151
610.9999999999999990	0.0003185571618103	0.0041150521457644
