Signaux reflechis et transmis pour une structure 
Signal echographique : ser2_25.tam
Milieu incident : eau
Milieu de refraction : eau
Nombre de periodes   1
Couche   1	 : nickel	Epaisseur (mm) : 1.00000000e+01
Epaisseur totale h d'une periode (mm) : 1.00000000e+01
Epaisseur totale H de la plaque (mm) : 1.00000000e+01
Pas frequentiel (MHz) : 9.76562500e-03
Pas temporel (µs) : 5.00000000e-02
Angle d'incidence (degre) : 1.00000000e+01
 



no	temps (µs)	SR	ST
209	1.04000000e+01	3.16118465e-03	-2.80660368e-03
210	1.04500000e+01	1.47178583e-03	-3.76825619e-03
211	1.05000000e+01	-4.00356598e-04	-2.26430451e-03
212	1.05500000e+01	-1.57226672e-03	1.69047167e-03
213	1.06000000e+01	-1.63254402e-03	5.95937164e-03
214	1.06500000e+01	-9.07539037e-04	7.64292929e-03
215	1.07000000e+01	-5.67185499e-05	5.40696951e-03
216	1.07500000e+01	3.82608535e-04	6.10359964e-04
217	1.08000000e+01	3.02133115e-04	-3.88534602e-03
218	1.08500000e+01	9.25001618e-05	-5.81330819e-03
219	1.09000000e+01	1.02590016e-04	-4.71168670e-03
220	1.09500000e+01	2.85361447e-04	-1.75332021e-03
221	1.10000000e+01	3.70879919e-04	1.18095918e-03
222	1.10500000e+01	1.05217013e-04	2.57955079e-03
223	1.11000000e+01	-4.27135510e-04	2.09875442e-03
224	1.11500000e+01	-8.06384320e-04	4.44220037e-04
225	1.12000000e+01	-6.89889324e-04	-1.33651617e-03
226	1.12500000e+01	-6.55779638e-05	-2.26878537e-03
227	1.13000000e+01	6.89294751e-04	-1.78907615e-03
228	1.13500000e+01	1.07578346e-03	-1.20529144e-04
229	1.14000000e+01	8.67017900e-04	1.84153406e-03
230	1.14500000e+01	1.92704105e-04	2.99641109e-03
231	1.15000000e+01	-4.33742913e-04	2.62156658e-03
232	1.15500000e+01	-5.24797019e-04	9.43061341e-04
233	1.16000000e+01	-1.38505760e-04	-9.92596200e-04
234	1.16500000e+01	7.48300385e-04	-2.14299487e-03
235	1.17000000e+01	2.45665814e-03	-2.06841989e-03
236	1.17500000e+01	4.24058769e-03	-1.02773722e-03
237	1.18000000e+01	4.07143917e-03	2.46504077e-04
238	1.18500000e+01	6.19885966e-04	1.04986169e-03
239	1.19000000e+01	-4.97391456e-03	1.09211739e-03
240	1.19500000e+01	-9.35200643e-03	5.12157617e-04
241	1.20000000e+01	-9.36666478e-03	-2.36852691e-04
242	1.20500000e+01	-4.78340653e-03	-6.76610151e-04
243	1.21000000e+01	1.58086149e-03	-6.52639533e-04
244	1.21500000e+01	6.23512454e-03	-1.78760577e-04
245	1.22000000e+01	7.29300413e-03	7.62969403e-04
246	1.22500000e+01	5.07934547e-03	1.75811837e-03
247	1.23000000e+01	1.35780627e-03	1.84168923e-03
248	1.23500000e+01	-1.87269320e-03	4.38585308e-04
249	1.24000000e+01	-3.29814499e-03	-1.87814494e-03
250	1.24500000e+01	-2.69895235e-03	-3.66485496e-03
251	1.25000000e+01	-8.24299437e-04	-3.61647944e-03
252	1.25500000e+01	1.14847185e-03	-1.68068872e-03
253	1.26000000e+01	2.18763455e-03	8.66466513e-04
254	1.26500000e+01	1.79907309e-03	2.53925328e-03
255	1.27000000e+01	2.66144233e-04	2.62588125e-03
256	1.27500000e+01	-1.45401333e-03	1.44980634e-03
257	1.28000000e+01	-2.27497949e-03	-4.51620472e-05
258	1.28500000e+01	-1.65710959e-03	-1.09077752e-03
259	1.29000000e+01	-2.81280146e-05	-1.34065716e-03
260	1.29500000e+01	1.47847257e-03	-9.50070319e-04
261	1.30000000e+01	1.92015021e-03	-9.06079837e-04
262	1.30500000e+01	1.19982061e-03	-2.01749952e-03
263	1.31000000e+01	-3.62702741e-05	-3.25749987e-03
264	1.31500000e+01	-9.51759447e-04	-2.42718742e-03
265	1.32000000e+01	-1.09943620e-03	1.38467918e-03
266	1.32500000e+01	-6.09116392e-04	6.38523192e-03
267	1.33000000e+01	6.13712581e-05	9.09441689e-03
268	1.33500000e+01	4.60163279e-04	7.26642803e-03
269	1.34000000e+01	4.53051458e-04	1.94220974e-03
270	1.34500000e+01	2.11655116e-04	-3.59366836e-03
271	1.35000000e+01	-2.76835627e-04	-6.51224210e-03
272	1.35500000e+01	-1.16690094e-03	-6.12521576e-03
273	1.36000000e+01	-1.97258144e-03	-3.59050622e-03
274	1.36500000e+01	-1.64011860e-03	-5.70765553e-04
275	1.37000000e+01	2.86143835e-04	1.70158994e-03
276	1.37500000e+01	2.96002261e-03	2.68056963e-03
277	1.38000000e+01	4.64971027e-03	2.41233294e-03
278	1.38500000e+01	4.01026083e-03	1.25960110e-03
279	1.39000000e+01	1.30157600e-03	-2.16573999e-04
280	1.39500000e+01	-1.84325321e-03	-1.36479694e-03
281	1.40000000e+01	-3.72932492e-03	-1.76023694e-03
282	1.40500000e+01	-3.55438040e-03	-1.34542813e-03
283	1.41000000e+01	-1.73399556e-03	-3.84165670e-04
284	1.41500000e+01	4.99497594e-04	6.34180542e-04
285	1.42000000e+01	1.95049658e-03	1.24929655e-03
286	1.42500000e+01	1.97981021e-03	1.23679075e-03
287	1.43000000e+01	1.00394734e-03	6.78942913e-04
288	1.43500000e+01	4.54607597e-04	-7.76401650e-05
289	1.44000000e+01	1.11572332e-03	-6.50663395e-04
290	1.44500000e+01	1.88817858e-03	-7.91434037e-04
291	1.45000000e+01	9.76468527e-04	-4.74915455e-04
292	1.45500000e+01	-2.05875147e-03	1.13716146e-05
293	1.46000000e+01	-5.46511678e-03	3.07314038e-04
294	1.46500000e+01	-6.58124891e-03	3.33625473e-04
295	1.47000000e+01	-4.28925555e-03	2.48979330e-04
296	1.47500000e+01	4.71179941e-05	2.03580498e-04
297	1.48000000e+01	3.89622222e-03	2.13869798e-04
298	1.48500000e+01	5.44007115e-03	2.05267047e-04
299	1.49000000e+01	4.53341492e-03	1.29597666e-04
300	1.49500000e+01	2.20929511e-03	-1.02424267e-05
301	1.50000000e+01	-2.95287953e-04	-2.03752658e-04
302	1.50500000e+01	-1.97590433e-03	-4.35519075e-04
303	1.51000000e+01	-2.38337298e-03	-6.27425699e-04
304	1.51500000e+01	-1.74697192e-03	-6.29677294e-04
305	1.52000000e+01	-6.22660577e-04	-3.95644335e-04
306	1.52500000e+01	3.66501585e-04	-5.93993142e-05
307	1.53000000e+01	8.71042873e-04	2.46646566e-04
308	1.53500000e+01	1.11195201e-03	4.48588646e-04
309	1.54000000e+01	1.32694477e-03	4.92892442e-04
310	1.54500000e+01	1.21659401e-03	3.87002395e-04
311	1.55000000e+01	3.50391764e-04	1.18130369e-04
312	1.55500000e+01	-1.18694981e-03	-2.80555152e-04
313	1.56000000e+01	-2.60550476e-03	-5.90007365e-04
314	1.56500000e+01	-2.87497421e-03	-8.00096924e-04
315	1.57000000e+01	-1.61658803e-03	-1.20960862e-03
316	1.57500000e+01	4.85212572e-04	-1.62508170e-03
317	1.58000000e+01	2.18056120e-03	-1.21239072e-03
318	1.58500000e+01	2.56656855e-03	5.01043687e-04
319	1.59000000e+01	1.64514514e-03	2.90324795e-03
320	1.59500000e+01	1.46700131e-04	4.50907358e-03
